temp order chi cb u
5 0.170846 0.00321596 0.219934 0.0624193 
4.93797 0.172206 0.003318 0.233112 0.0580448 
4.87595 0.172427 0.0033717 0.240115 0.0589267 
4.81392 0.174231 0.00345424 0.252116 0.0648475 
4.7519 0.176 0.00362812 0.27372 0.0539311 
4.68987 0.178121 0.00370843 0.285015 0.0681931 
4.62785 0.180429 0.00386384 0.306978 0.0658499 
4.56582 0.182499 0.00400095 0.326671 0.0653764 
4.5038 0.184497 0.00415126 0.349719 0.0637553 
4.44177 0.187503 0.00429945 0.370851 0.0768017 
4.37975 0.189654 0.00444014 0.394517 0.0795519 
4.31772 0.191064 0.00459549 0.418544 0.0747583 
4.2557 0.195258 0.00483739 0.457614 0.0825309 
4.19367 0.197729 0.00502715 0.490721 0.0851364 
4.13165 0.201666 0.00526365 0.533106 0.0895289 
4.06962 0.205013 0.00549576 0.570248 0.0987791 
4.00759 0.20766 0.00579016 0.623199 0.0919112 
3.94557 0.212697 0.00601979 0.67411 0.110171 
3.88354 0.215544 0.00636258 0.744157 0.0993543 
3.82152 0.22194 0.00675587 0.823186 0.115806 
3.75949 0.22725 0.007124 0.899688 0.124422 
3.69747 0.232195 0.00754157 1.00044 0.125495 
3.63544 0.236106 0.00790502 1.08334 0.13019 
3.57342 0.24452 0.00849218 1.23524 0.142779 
3.51139 0.248583 0.00891302 1.34232 0.148848 
3.44937 0.2555 0.00945299 1.50982 0.155703 
3.38734 0.265667 0.0103312 1.73675 0.168405 
3.32532 0.273117 0.0109974 1.94629 0.178449 
3.26329 0.28732 0.011972 2.26602 0.203834 
3.20127 0.295682 0.0128708 2.5535 0.211266 
3.13924 0.311455 0.0139397 2.95765 0.237408 
3.07722 0.32188 0.0149077 3.35542 0.24971 
3.01519 0.343585 0.0166447 4.08948 0.276631 
2.95316 0.358793 0.0180091 4.711 0.294427 
2.89114 0.381205 0.0195653 5.49732 0.324112 
2.82911 0.405717 0.0210776 6.44564 0.353254 
2.76709 0.43526 0.0230855 7.7284 0.383728 
2.70506 0.46928 0.0245318 8.89636 0.420444 
2.64304 0.50194 0.0264758 10.4349 0.446313 
2.58101 0.547629 0.0269408 11.7637 0.486566 
2.51899 0.58783 0.0273963 13.0786 0.514188 
2.45696 0.638376 0.0267006 14.0397 0.546014 
2.39494 0.68691 0.0250038 14.5976 0.572561 
2.33291 0.735006 0.0218256 14.259 0.595768 
2.27089 0.77705 0.0186769 13.5351 0.613048 
2.20886 0.816691 0.0148988 12.2755 0.627728 
2.14684 0.851509 0.0115561 10.5831 0.638853 
2.08481 0.880377 0.00868141 8.83721 0.647026 
2.02278 0.903479 0.00627934 7.21258 0.652774 
1.96076 0.922247 0.00457549 5.84392 0.656816 
1.89873 0.938918 0.00286861 4.38467 0.660194 
1.83671 0.95106 0.00216153 3.51195 0.662003 
1.77468 0.960707 0.00148786 2.7596 0.663376 
1.71266 0.968498 0.00115976 2.26896 0.664222 
1.65063 0.974975 0.000874945 1.86042 0.664861 
1.58861 0.98085 0.000609439 1.3895 0.665435 
1.52658 0.984937 0.000480583 1.15635 0.665736 
1.46456 0.988447 0.000356984 0.90952 0.666003 
1.40253 0.991229 0.00027365 0.734501 0.66618 
1.34051 0.993558 0.000195173 0.557692 0.666332 
1.27848 0.995288 0.00014391 0.434876 0.666431 
1.21646 0.996645 0.000104313 0.333094 0.666504 
1.15443 0.997788 6.86265e-05 0.232979 0.666565 
1.09241 0.998561 4.61317e-05 0.166031 0.666602 
1.03038 0.999106 2.94352e-05 0.11263 0.666628 
0.968354 0.999454 1.88174e-05 0.076609 0.666643 
0.906329 0.999695 1.09738e-05 0.048144 0.666654 
0.844304 0.999839 6.23848e-06 0.0291306 0.66666 
0.782278 0.999933 2.74061e-06 0.0139248 0.666664 
0.720253 0.999968 1.41542e-06 0.00782805 0.666665 
0.658228 0.999989 5.2651e-07 0.00311402 0.666666 
0.596203 0.999997 1.39216e-07 0.000915336 0.666667 
0.534177 1 2.7422e-08 0.000210268 0.666667 
0.472152 1 2.0683e-08 0.000179429 0.666667 
0.410127 1 0 0 0.666667 
0.348101 1 0 0 0.666667 
0.286076 1 0 0 0.666667 
0.224051 1 0 0 0.666667 
0.162025 1 0 0 0.666667 
0.1 1 0 0 0.666667 
