temp order chi cb u
5 0.0847034 0.000804837 0.0956006 0.0248477 
4.93797 0.0850701 0.000836775 0.101464 0.00483046 
4.87595 0.0860912 0.000862375 0.107559 0.0127357 
4.81392 0.0868014 0.000885064 0.112664 0.00983412 
4.7519 0.0878584 0.000926124 0.120957 0.00878792 
4.68987 0.088459 0.000947789 0.126788 0.00899438 
4.62785 0.0898777 0.00098287 0.135362 0.018146 
4.56582 0.0905674 0.00101527 0.143009 0.0141992 
4.5038 0.0918666 0.00105803 0.154223 0.0150286 
4.44177 0.092697 0.00108419 0.161911 0.0253527 
4.37975 0.0943515 0.00114188 0.174785 0.019898 
4.31772 0.0956438 0.00119002 0.187184 0.0249197 
4.2557 0.0971777 0.0012483 0.202435 0.0221241 
4.19367 0.0979476 0.00129119 0.217685 0.0183427 
4.13165 0.0997068 0.00134583 0.234199 0.0278032 
4.06962 0.10131 0.00142761 0.257082 0.0134742 
4.00759 0.10279 0.00147706 0.275561 0.0271762 
3.94557 0.105479 0.00157996 0.305503 0.0260352 
3.88354 0.107578 0.00166512 0.332402 0.0332917 
3.82152 0.110347 0.00177691 0.36917 0.0347712 
3.75949 0.111314 0.00186195 0.403937 0.0262553 
3.69747 0.113829 0.00195934 0.44602 0.0298952 
3.63544 0.116776 0.0020963 0.494358 0.032329 
3.57342 0.120067 0.00225435 0.55369 0.0334771 
3.51139 0.123074 0.00238499 0.613248 0.0455448 
3.44937 0.126712 0.00259053 0.699435 0.0388499 
3.38734 0.130553 0.00278537 0.799136 0.0432639 
3.32532 0.136429 0.00309016 0.93735 0.0460908 
3.26329 0.13983 0.00324547 1.03662 0.0684448 
3.20127 0.146571 0.00367376 1.25366 0.0593748 
3.13924 0.154906 0.00412846 1.52451 0.0710862 
3.07722 0.159769 0.00449362 1.76689 0.0696689 
3.01519 0.169119 0.00507753 2.18481 0.0834439 
2.95316 0.179241 0.0057967 2.6657 0.0922912 
2.89114 0.191237 0.00663368 3.36942 0.113256 
2.82911 0.205409 0.00757147 4.2439 0.137536 
2.76709 0.223889 0.00902588 5.70769 0.157213 
2.70506 0.242261 0.0106382 7.55699 0.174987 
2.64304 0.278073 0.0131799 10.9236 0.235174 
2.58101 0.318496 0.0158542 15.1554 0.29977 
2.51899 0.363961 0.0190737 21.4976 0.351663 
2.45696 0.441622 0.0228074 31.0564 0.435175 
2.39494 0.520127 0.0238829 38.9483 0.503074 
2.33291 0.617526 0.0217997 43.5976 0.565811 
2.27089 0.709163 0.0167078 40.8034 0.60908 
2.20886 0.781848 0.0110398 32.838 0.634731 
2.14684 0.836336 0.00620533 23.3913 0.649665 
2.08481 0.876838 0.003021 14.7536 0.658098 
2.02278 0.904067 0.00169382 9.86496 0.661794 
1.96076 0.924057 0.00105048 6.86241 0.663727 
1.89873 0.938034 0.000815502 5.72953 0.664513 
1.83671 0.950426 0.000570768 4.27648 0.665224 
1.77468 0.9608 0.000379973 3.12813 0.665731 
1.71266 0.968436 0.000303559 2.6223 0.665956 
1.65063 0.975146 0.000216482 1.97904 0.66618 
1.58861 0.980524 0.000159172 1.54172 0.666324 
1.52658 0.984973 0.000118177 1.20638 0.666424 
1.46456 0.988427 9.02143e-05 0.969591 0.66649 
1.40253 0.991242 6.73707e-05 0.761001 0.66654 
1.34051 0.993548 4.89722e-05 0.583449 0.666579 
1.27848 0.995348 3.50988e-05 0.440583 0.666607 
1.21646 0.99672 2.50867e-05 0.332266 0.666626 
1.15443 0.997743 1.77447e-05 0.248044 0.66664 
1.09241 0.998513 1.206e-05 0.178508 0.666649 
1.03038 0.999081 7.60658e-06 0.119547 0.666656 
0.968354 0.999453 4.70077e-06 0.0787614 0.666661 
0.906329 0.999691 2.81995e-06 0.0504506 0.666663 
0.844304 0.999843 1.50908e-06 0.0290471 0.666665 
0.782278 0.999929 7.29672e-07 0.0151769 0.666666 
0.720253 0.999969 3.47758e-07 0.00784547 0.666666 
0.658228 0.999987 1.50904e-07 0.00373123 0.666667 
0.596203 0.999998 2.96796e-08 0.000813433 0.666667 
0.534177 1 6.28396e-09 0.000192195 0.666667 
0.472152 1 3.23167e-09 0.000111446 0.666667 
0.410127 1 0 0 0.666667 
0.348101 1 0 0 0.666667 
0.286076 1 0 0 0.666667 
0.224051 1 0 0 0.666667 
0.162025 1 0 0 0.666667 
0.1 1 0 0 0.666667 
