temp order chi cb u
5 0.0249387 0.0725024 0.00340921 0.00535699 
4.93797 0.0249377 0.0736714 0.00350466 0.00250929 
4.87595 0.0249442 0.0743243 0.00356861 0.00755653 
4.81392 0.024972 0.0755011 0.00369159 0.00477621 
4.7519 0.0247889 0.0760992 0.0037382 -0.00275847 
4.68987 0.0249003 0.0774437 0.00386024 -0.00137362 
4.62785 0.0249879 0.079056 0.0040229 0.00138781 
4.56582 0.0248945 0.0802181 0.00409971 -0.00393355 
4.5038 0.0250135 0.0812767 0.00421785 0.000543207 
4.44177 0.0250316 0.0823348 0.00434794 0.00121072 
4.37975 0.0248764 0.0830238 0.00444644 -0.00320993 
4.31772 0.0249193 0.0839779 0.00460936 -0.00431879 
4.2557 0.0248877 0.0851269 0.00472712 0.00133948 
4.19367 0.0248931 0.0863245 0.00482572 0.003787 
4.13165 0.0249675 0.0882189 0.00502086 0.0007933 
4.06962 0.0248488 0.0888614 0.00514639 0.00151243 
4.00759 0.0248742 0.0899274 0.00530392 0.0080344 
3.94557 0.0248921 0.0919858 0.00546398 -0.00105376 
3.88354 0.0250005 0.0939624 0.00566548 -0.00182244 
3.82152 0.0249188 0.0953338 0.00590448 -0.00231918 
3.75949 0.0249707 0.0966989 0.00605625 0.00504229 
3.69747 0.0248704 0.0982196 0.00621216 -0.00371759 
3.63544 0.0248772 0.0992435 0.0064082 0.00386488 
3.57342 0.0249267 0.101738 0.00664132 0.00156992 
3.51139 0.0249611 0.103961 0.00694932 0.00406318 
3.44937 0.0249397 0.105298 0.00721104 0.00623527 
3.38734 0.0248863 0.107231 0.00747512 -0.00117996 
3.32532 0.0249207 0.109532 0.00774504 -0.000217556 
3.26329 0.0248717 0.110673 0.00792671 0.00372412 
3.20127 0.0250203 0.11456 0.00836227 -0.00744095 
3.13924 0.0249282 0.116373 0.00867635 -0.00594565 
3.07722 0.0250071 0.118495 0.00903282 0.0045453 
3.01519 0.0248738 0.120209 0.00936826 0.0042719 
2.95316 0.0249902 0.123652 0.00980895 0.00240157 
2.89114 0.0249053 0.125555 0.010159 0.00103061 
2.82911 0.0250287 0.129275 0.0107049 0.00177444 
2.76709 0.0249579 0.131358 0.0111246 0.00616304 
2.70506 0.0250144 0.135414 0.011775 -0.00381939 
2.64304 0.0248621 0.13711 0.0121962 -0.0011996 
2.58101 0.024923 0.140509 0.0128479 0.00304584 
2.51899 0.0248412 0.143357 0.0133489 -0.000721798 
2.45696 0.0249483 0.148051 0.0142203 0.00282958 
2.39494 0.0248822 0.151261 0.0149085 0.00220109 
2.33291 0.0249974 0.156529 0.0157222 0.00395154 
2.27089 0.0250065 0.16118 0.0168195 -0.00151342 
2.20886 0.0248804 0.164549 0.017593 -0.00372833 
2.14684 0.0249049 0.170129 0.0185919 -0.00385834 
2.08481 0.0249467 0.173627 0.0196352 0.00235348 
2.02278 0.0249282 0.18022 0.0209014 -0.00103075 
1.96076 0.025071 0.186818 0.0222732 0.00585887 
1.89873 0.0248602 0.190285 0.0235904 -0.00167509 
1.83671 0.0249039 0.197274 0.025331 0.0013809 
1.77468 0.024916 0.205884 0.0271674 -0.00209466 
1.71266 0.0248919 0.212475 0.0292116 -0.00223768 
1.65063 0.0248676 0.219249 0.0312976 0.00270478 
1.58861 0.0248665 0.226221 0.0334416 0.00400941 
1.52658 0.0249467 0.237073 0.0362426 0.00328951 
1.46456 0.0247663 0.246597 0.0397744 -0.00126873 
1.40253 0.0249444 0.258249 0.0436315 0.00316622 
1.34051 0.0249961 0.273999 0.0476489 -0.00538125 
1.27848 0.0248863 0.285098 0.0523762 9.14044e-05 
1.21646 0.0250603 0.302381 0.0589247 -0.00283357 
1.15443 0.0249992 0.317378 0.0637784 0.000399709 
1.09241 0.0249987 0.337141 0.0715722 -0.00533237 
1.03038 0.0248255 0.3515 0.0804918 -0.00705435 
0.968354 0.0248863 0.374599 0.0916137 0.00142699 
0.906329 0.0249325 0.402288 0.10367 0.0035939 
0.844304 0.0249171 0.42669 0.118405 0.0102615 
0.782278 0.0249983 0.467987 0.139664 -0.0019339 
0.720253 0.0249694 0.507384 0.165285 -0.00237791 
0.658228 0.0250375 0.554203 0.197884 0.00508273 
0.596203 0.0249558 0.610304 0.238315 0.00318485 
0.534177 0.0248937 0.677417 0.298851 -0.00467826 
0.472152 0.0248724 0.766792 0.382396 0.0034087 
0.410127 0.0249296 0.886315 0.503903 0.00326853 
0.348101 0.024926 1.04527 0.705482 -0.000989748 
0.286076 0.0249179 1.26559 1.0453 0.00134389 
0.224051 0.0249979 1.62846 1.71268 0.0023226 
0.162025 0.0249486 2.25459 3.23357 0.00199616 
0.1 0.0249518 3.63929 8.58925 0.00107573 
