temp order chi cb u
5 0.0994408 0.0737549 0.0234984 0.0104594 
4.93797 0.0994595 0.0749354 0.0241675 0.00894976 
4.87595 0.0990859 0.0752931 0.0245322 0.00612437 
4.81392 0.0992069 0.0763991 0.0250448 0.00893986 
4.7519 0.0992748 0.0775148 0.0256755 0.0107071 
4.68987 0.0994486 0.0786144 0.0267732 0.00773212 
4.62785 0.0993567 0.0795112 0.027238 0.011 
4.56582 0.0994284 0.0803689 0.0278867 0.0151196 
4.5038 0.0992056 0.0817413 0.0289217 0.00536937 
4.44177 0.0994466 0.0830001 0.0297827 0.0106622 
4.37975 0.0993188 0.0844249 0.0305621 0.0101924 
4.31772 0.0988895 0.0846614 0.0308646 0.0101936 
4.2557 0.0992283 0.0866875 0.0323568 0.00595833 
4.19367 0.0991614 0.0878635 0.0329439 0.00946208 
4.13165 0.0994631 0.0896038 0.0344136 0.00753737 
4.06962 0.0994456 0.0903521 0.0352635 0.0105951 
4.00759 0.0993034 0.0921687 0.0365945 0.00724616 
3.94557 0.0990541 0.0927647 0.0370931 0.0135605 
3.88354 0.0994436 0.0951758 0.0387319 0.00584889 
3.82152 0.0989611 0.0957503 0.0396801 0.0122089 
3.75949 0.0996525 0.0983569 0.0415492 0.0105442 
3.69747 0.0993997 0.0997283 0.0427204 0.00917304 
3.63544 0.0995289 0.101761 0.0441723 0.0106469 
3.57342 0.0996455 0.103404 0.0458433 0.0115748 
3.51139 0.0993398 0.104996 0.0473473 0.0094694 
3.44937 0.0990969 0.106254 0.0490627 0.00685086 
3.38734 0.0998111 0.109454 0.0507894 0.0167861 
3.32532 0.099465 0.110669 0.052824 0.0134583 
3.26329 0.099465 0.112588 0.0543831 0.0171878 
3.20127 0.0991855 0.114628 0.05653 0.0131282 
3.13924 0.0993028 0.117515 0.0594234 0.0101857 
3.07722 0.0995659 0.12047 0.0620903 0.0108092 
3.01519 0.0994759 0.121918 0.0641732 0.01158 
2.95316 0.09945 0.125107 0.0676575 0.0100162 
2.89114 0.0993625 0.128036 0.0701007 0.00884281 
2.82911 0.099747 0.130993 0.0726807 0.0115824 
2.76709 0.099282 0.132782 0.0757446 0.0112189 
2.70506 0.0995684 0.136796 0.0805005 0.0106923 
2.64304 0.0990416 0.138924 0.0830771 0.00841125 
2.58101 0.0993859 0.142751 0.088003 0.00944323 
2.51899 0.0991995 0.146396 0.0918677 0.00680158 
2.45696 0.09935 0.150227 0.0965185 0.0106524 
2.39494 0.099493 0.153839 0.101657 0.0146817 
2.33291 0.0989383 0.156805 0.106183 0.00994318 
2.27089 0.0993988 0.162304 0.112716 0.0125295 
2.20886 0.0995573 0.167972 0.120848 0.00734893 
2.14684 0.0994734 0.172158 0.126713 0.0146415 
2.08481 0.0995433 0.178615 0.136346 0.00827039 
2.02278 0.0995322 0.182002 0.143599 0.0113902 
1.96076 0.0997628 0.189063 0.153504 0.00995378 
1.89873 0.0996744 0.195449 0.164784 0.00451935 
1.83671 0.0995025 0.201595 0.173501 0.00569859 
1.77468 0.0996184 0.206714 0.18369 0.0172768 
1.71266 0.0995477 0.216192 0.200599 0.0105177 
1.65063 0.0991888 0.221274 0.211315 0.0169983 
1.58861 0.0995208 0.231255 0.230996 0.0172447 
1.52658 0.0997577 0.2427 0.254486 0.00914054 
1.46456 0.0993942 0.253395 0.272407 0.00505266 
1.40253 0.0993027 0.263957 0.297495 0.00990195 
1.34051 0.0995644 0.275228 0.326831 0.0139425 
1.27848 0.0994489 0.288697 0.354174 0.0138472 
1.21646 0.0991103 0.302581 0.39315 0.00619457 
1.15443 0.099305 0.318918 0.43561 0.00932685 
1.09241 0.0989608 0.335528 0.486695 0.00345228 
1.03038 0.0993475 0.356368 0.541333 0.0186823 
0.968354 0.0998153 0.38317 0.633766 0.00999651 
0.906329 0.0986017 0.401223 0.700417 0.0121158 
0.844304 0.0995466 0.438204 0.809065 0.00744886 
0.782278 0.0996505 0.475146 0.977516 -0.00183174 
0.720253 0.0988958 0.506437 1.10326 0.0171624 
0.658228 0.0989819 0.55635 1.33945 0.00976861 
0.596203 0.0994594 0.618991 1.65568 0.00350751 
0.534177 0.0993219 0.690975 2.07202 0.00877115 
0.472152 0.099388 0.78096 2.6217 0.00908087 
0.410127 0.0996028 0.902322 3.49712 0.00778713 
0.348101 0.0994192 1.05688 4.78809 0.0120422 
0.286076 0.0996683 1.29648 7.14219 0.0150638 
0.224051 0.0994033 1.63517 11.5178 0.0188074 
0.162025 0.0997863 2.28861 22.5024 0.00615516 
0.1 0.0993594 3.68652 58.7706 0.00740072 
