temp order chi cb u
5 0.10002 0.000376304 0.0158429 0.465396 
4.93797 0.100597 0.000380361 0.0162494 0.468134 
4.87595 0.100794 0.000381137 0.0165251 0.469977 
4.81392 0.101368 0.000382282 0.0169112 0.473909 
4.7519 0.101851 0.000387581 0.017327 0.475805 
4.68987 0.102222 0.000386487 0.0176487 0.478721 
4.62785 0.102583 0.000390495 0.0180618 0.48084 
4.56582 0.103142 0.000392357 0.0185194 0.483341 
4.5038 0.103593 0.000394736 0.0188598 0.487017 
4.44177 0.103933 0.000396102 0.019384 0.488575 
4.37975 0.104415 0.000398367 0.0197522 0.492054 
4.31772 0.104632 0.000401411 0.0200959 0.493815 
4.2557 0.105057 0.0004046 0.0206942 0.495437 
4.19367 0.105518 0.000406057 0.0211524 0.498567 
4.13165 0.105675 0.000405819 0.0213255 0.501171 
4.06962 0.106338 0.000410136 0.0221057 0.503604 
4.00759 0.106366 0.000411853 0.0225246 0.504835 
3.94557 0.106711 0.000412649 0.0229867 0.507359 
3.88354 0.107026 0.000416271 0.0234579 0.509619 
3.82152 0.107271 0.000414701 0.0238637 0.512267 
3.75949 0.107349 0.00041675 0.0242544 0.514559 
3.69747 0.107664 0.00042042 0.0248988 0.516615 
3.63544 0.108037 0.000421952 0.0254069 0.519454 
3.57342 0.108036 0.000422998 0.0258602 0.520693 
3.51139 0.108403 0.000422853 0.0265032 0.523421 
3.44937 0.108297 0.00042523 0.0268479 0.524795 
3.38734 0.108125 0.000426755 0.0273156 0.5266 
3.32532 0.108106 0.000427052 0.0276794 0.528467 
3.26329 0.108048 0.000426795 0.0279764 0.530605 
3.20127 0.108016 0.000430591 0.0288303 0.531364 
3.13924 0.10775 0.000426797 0.0288219 0.534272 
3.07722 0.107385 0.000426791 0.0289961 0.53608 
3.01519 0.106756 0.000427481 0.0292535 0.536769 
2.95316 0.106298 0.000427226 0.0294446 0.538178 
2.89114 0.105571 0.000426373 0.0297533 0.538549 
2.82911 0.104761 0.00042087 0.0293787 0.541283 
2.76709 0.103642 0.00042269 0.0294361 0.540355 
2.70506 0.102519 0.000421383 0.0292897 0.540703 
2.64304 0.100856 0.000418345 0.0288559 0.539953 
2.58101 0.0988319 0.000414023 0.0280136 0.538902 
2.51899 0.0965132 0.000410005 0.0270565 0.537547 
2.45696 0.0935516 0.000407002 0.0259632 0.533286 
2.39494 0.0894177 0.000405261 0.024402 0.525204 
2.33291 0.0842655 0.000398226 0.0221351 0.513884 
2.27089 0.0784195 0.000383326 0.0190394 0.502181 
2.20886 0.0708805 0.000363019 0.0156684 0.48009 
2.14684 0.0636562 0.000329396 0.0121066 0.462274 
2.08481 0.0570306 0.000296195 0.00916621 0.444955 
2.02278 0.051219 0.000264105 0.00693762 0.429998 
1.96076 0.0458432 0.000237023 0.00528275 0.41087 
1.89873 0.0411005 0.00021296 0.00398757 0.39291 
1.83671 0.036694 0.000190151 0.00301648 0.371393 
1.77468 0.0326232 0.00017031 0.00228159 0.345242 
1.71266 0.0287308 0.000150711 0.00167501 0.314912 
1.65063 0.0252107 0.00013421 0.00124106 0.276778 
1.58861 0.0218892 0.000117151 0.00089638 0.236474 
1.52658 0.0188516 0.000102871 0.000651973 0.183665 
1.46456 0.0161083 8.96791e-05 0.000466107 0.122335 
1.40253 0.0135488 7.69481e-05 0.000324314 0.0526637 
1.34051 0.0111823 6.53287e-05 0.000222659 -0.0450969 
1.27848 0.00910137 5.53558e-05 0.000153274 -0.16101 
1.21646 0.00716172 4.51562e-05 0.000102959 -0.304153 
1.15443 0.00560172 3.737e-05 6.98142e-05 -0.486609 
1.09241 0.00416117 2.93522e-05 4.73677e-05 -0.738183 
1.03038 0.00297695 2.23876e-05 3.28121e-05 -1.10636 
0.968354 0.0020418 1.63661e-05 2.20142e-05 -1.5828 
0.906329 0.00134789 1.1559e-05 1.55007e-05 -2.30515 
0.844304 0.000827461 7.6286e-06 1.03278e-05 -3.65428 
0.782278 0.000472344 4.73163e-06 6.48025e-06 -6.19637 
0.720253 0.000237656 2.57907e-06 3.66483e-06 -11.5409 
0.658228 0.000105391 1.24699e-06 2.00639e-06 -24.963 
0.596203 4.47656e-05 5.88356e-07 9.9464e-07 -59.6634 
0.534177 1.35938e-05 1.98467e-07 3.7203e-07 -190.571 
0.472152 2.38281e-06 3.94154e-08 8.35e-08 -1091.9 
0.410127 3.125e-07 5.95257e-09 1.45144e-08 -8332.33 
0.348101 0 0 0 -nan 
0.286076 0 0 0 -nan 
0.224051 0 0 0 -nan 
0.162025 0 0 0 -nan 
0.1 0 0 0 -nan 
