temp order chi cb u
5 0.11083 0.00109988 0.0203596 0.208134 
4.93797 0.110981 0.0011048 0.0206155 0.211759 
4.87595 0.111074 0.00111926 0.0210499 0.213095 
4.81392 0.111314 0.00112741 0.0214941 0.217204 
4.7519 0.111749 0.00113836 0.0218737 0.222945 
4.68987 0.11173 0.00115363 0.022302 0.224964 
4.62785 0.111896 0.00116336 0.022773 0.227059 
4.56582 0.111915 0.00117435 0.0231353 0.228704 
4.5038 0.112311 0.00118537 0.0234073 0.237684 
4.44177 0.112442 0.00120497 0.0242024 0.233771 
4.37975 0.1126 0.00121442 0.0246042 0.238794 
4.31772 0.11289 0.00122474 0.0250381 0.243907 
4.2557 0.112875 0.00123967 0.0255471 0.245444 
4.19367 0.112989 0.00124433 0.025988 0.249109 
4.13165 0.112854 0.00125471 0.0260644 0.254446 
4.06962 0.113034 0.00127038 0.026792 0.256232 
4.00759 0.113401 0.00128502 0.0274531 0.259704 
3.94557 0.113241 0.00129325 0.0278469 0.262718 
3.88354 0.11344 0.00130523 0.0283163 0.265596 
3.82152 0.113726 0.00131762 0.0289605 0.270949 
3.75949 0.11358 0.00133195 0.0293994 0.272591 
3.69747 0.113331 0.00133874 0.029723 0.27471 
3.63544 0.113292 0.00135121 0.0301855 0.277867 
3.57342 0.113087 0.00137218 0.0310316 0.277679 
3.51139 0.113392 0.00138139 0.0316075 0.283802 
3.44937 0.113411 0.00138324 0.0317399 0.289607 
3.38734 0.113042 0.00138728 0.0318983 0.294692 
3.32532 0.112889 0.00139803 0.0325752 0.295075 
3.26329 0.111975 0.00140887 0.0327937 0.293066 
3.20127 0.111592 0.00140983 0.032964 0.298423 
3.13924 0.11109 0.00141778 0.0333977 0.300009 
3.07722 0.110529 0.00143146 0.0340151 0.298684 
3.01519 0.109892 0.00143676 0.0340409 0.299734 
2.95316 0.108969 0.0014399 0.0340068 0.301374 
2.89114 0.107745 0.00144026 0.0340722 0.298108 
2.82911 0.106022 0.00144372 0.033626 0.294007 
2.76709 0.104658 0.00143591 0.0331507 0.295449 
2.70506 0.10293 0.00142996 0.032754 0.29053 
2.64304 0.100621 0.00141928 0.0322544 0.284053 
2.58101 0.0975413 0.00140129 0.0309229 0.272543 
2.51899 0.0946089 0.0013829 0.029688 0.261161 
2.45696 0.0902255 0.00135049 0.0277437 0.240305 
2.39494 0.0863452 0.00131562 0.0257978 0.223646 
2.33291 0.0814397 0.00127099 0.023322 0.199037 
2.27089 0.0758372 0.0012004 0.0205119 0.16292 
2.20886 0.0702416 0.00113481 0.0178691 0.127743 
2.14684 0.0646995 0.00105432 0.0150869 0.0876808 
2.08481 0.058762 0.00097154 0.0124488 0.0391553 
2.02278 0.0537947 0.000889915 0.0104227 0.000762733 
1.96076 0.0488558 0.000814014 0.00849337 -0.045081 
1.89873 0.0436459 0.000735159 0.00669558 -0.0955553 
1.83671 0.0391888 0.000672501 0.00547291 -0.151836 
1.77468 0.0349358 0.000607659 0.00432626 -0.200014 
1.71266 0.0309236 0.000554526 0.00344915 -0.282179 
1.65063 0.0270281 0.000499263 0.00250869 -0.350275 
1.58861 0.0234958 0.000443031 0.00193684 -0.441631 
1.52658 0.0200945 0.000395916 0.00149008 -0.549502 
1.46456 0.0170611 0.000350321 0.00113056 -0.684628 
1.40253 0.0142678 0.000308576 0.000867432 -0.870818 
1.34051 0.0116911 0.000266678 0.000661625 -1.08659 
1.27848 0.00942 0.00022559 0.000483866 -1.33169 
1.21646 0.00745406 0.000188242 0.000354532 -1.66173 
1.15443 0.00566969 0.000151736 0.000274884 -2.18777 
1.09241 0.00420953 0.000119629 0.000190649 -2.90653 
1.03038 0.00302734 9.09861e-05 0.000132768 -3.81977 
0.968354 0.00205953 6.58954e-05 9.08926e-05 -5.46383 
0.906329 0.00133609 4.58548e-05 6.26548e-05 -8.1953 
0.844304 0.000826406 3.05883e-05 4.13243e-05 -13.1797 
0.782278 0.000465781 1.85916e-05 2.55563e-05 -22.8915 
0.720253 0.000253281 1.09951e-05 1.58778e-05 -41.8696 
0.658228 0.00012125 5.74896e-06 8.76793e-06 -86.0115 
0.596203 4.39063e-05 2.3145e-06 3.83254e-06 -244.56 
0.534177 1.21875e-05 7.12705e-07 1.33471e-06 -853.701 
0.472152 3.75e-06 2.48169e-07 5.25669e-07 -2776.78 
0.410127 3.125e-07 2.3811e-08 5.80583e-08 -33332.3 
0.348101 0 0 0 -nan 
0.286076 0 0 0 -nan 
0.224051 0 0 0 -nan 
0.162025 0 0 0 -nan 
0.1 0 0 0 -nan 
