temp order chi cb u
5 0.668328 0.00123973 0.318014 0.648819 
4.93797 0.672704 0.00124399 0.328444 0.649191 
4.87595 0.676516 0.00124456 0.337876 0.649564 
4.81392 0.679994 0.00125258 0.34738 0.649876 
4.7519 0.684315 0.00126199 0.360325 0.650159 
4.68987 0.687657 0.00126058 0.369136 0.650526 
4.62785 0.692092 0.00125946 0.379439 0.65095 
4.56582 0.695672 0.00127009 0.39238 0.651185 
4.5038 0.699864 0.0012676 0.40213 0.651614 
4.44177 0.704173 0.00128134 0.41835 0.651834 
4.37975 0.708363 0.00128703 0.431184 0.652163 
4.31772 0.712431 0.00128884 0.444277 0.652494 
4.2557 0.716838 0.00129585 0.459066 0.652797 
4.19367 0.721021 0.00129482 0.472138 0.653154 
4.13165 0.725704 0.00130392 0.489829 0.653429 
4.06962 0.730073 0.00130621 0.505011 0.653761 
4.00759 0.734428 0.00130284 0.518533 0.654129 
3.94557 0.739303 0.00131045 0.537837 0.654423 
3.88354 0.744005 0.00131896 0.55726 0.654686 
3.82152 0.748681 0.00132634 0.578482 0.654953 
3.75949 0.753153 0.00132777 0.596876 0.655254 
3.69747 0.75785 0.00133515 0.618395 0.655525 
3.63544 0.763123 0.00133276 0.637498 0.655882 
3.57342 0.768182 0.00132944 0.657046 0.656231 
3.51139 0.773028 0.00133531 0.680704 0.656492 
3.44937 0.778071 0.00133483 0.702425 0.656809 
3.38734 0.78269 0.00133429 0.725364 0.657095 
3.32532 0.788793 0.00133947 0.755093 0.65738 
3.26329 0.793952 0.00133662 0.778752 0.657688 
3.20127 0.799327 0.00134172 0.809179 0.657941 
3.13924 0.805063 0.00133165 0.832519 0.658291 
3.07722 0.810328 0.00133307 0.862755 0.658552 
3.01519 0.816009 0.00133344 0.893504 0.65883 
2.95316 0.821533 0.00132682 0.921854 0.659126 
2.89114 0.82734 0.00132238 0.952857 0.659414 
2.82911 0.833583 0.00131533 0.984628 0.659715 
2.76709 0.839528 0.00131482 1.02369 0.659961 
2.70506 0.845524 0.00130376 1.05366 0.660262 
2.64304 0.851613 0.00129937 1.09329 0.660515 
2.58101 0.858003 0.00128406 1.12433 0.660818 
2.51899 0.863741 0.00127769 1.16262 0.661064 
2.45696 0.870328 0.00125979 1.19391 0.661363 
2.39494 0.876793 0.00124693 1.23302 0.661623 
2.33291 0.883113 0.00122162 1.26043 0.661921 
2.27089 0.889408 0.00120659 1.29772 0.66217 
2.20886 0.896003 0.00117754 1.32375 0.66246 
2.14684 0.902447 0.00114427 1.34447 0.662752 
2.08481 0.908938 0.00112271 1.37836 0.662992 
2.02278 0.915439 0.00108533 1.39608 0.663267 
1.96076 0.921904 0.0010449 1.40804 0.66354 
1.89873 0.928341 0.0010018 1.41484 0.663804 
1.83671 0.934596 0.000958859 1.4204 0.664051 
1.77468 0.940743 0.000909011 1.41284 0.664304 
1.71266 0.946938 0.000859838 1.40497 0.664537 
1.65063 0.952831 0.00079712 1.36983 0.664788 
1.58861 0.958504 0.000743034 1.34318 0.665002 
1.52658 0.963973 0.000678777 1.29182 0.665223 
1.46456 0.969101 0.00061587 1.23519 0.665423 
1.40253 0.973872 0.000546294 1.15681 0.665621 
1.34051 0.978384 0.000478875 1.07116 0.665799 
1.27848 0.982488 0.000409249 0.968612 0.665965 
1.21646 0.985979 0.000346065 0.867414 0.666106 
1.15443 0.98912 0.000285477 0.758687 0.666231 
1.09241 0.991917 0.000226473 0.639909 0.666342 
1.03038 0.994211 0.000172724 0.519906 0.666434 
0.968354 0.995915 0.00013097 0.420955 0.666501 
0.906329 0.997369 8.99019e-05 0.309812 0.666561 
0.844304 0.998369 5.98649e-05 0.221834 0.666601 
0.782278 0.999082 3.6592e-05 0.146395 0.66663 
0.720253 0.99953 2.03357e-05 0.0885068 0.666648 
0.658228 0.999779 1.04301e-05 0.0495934 0.666658 
0.596203 0.999908 4.83404e-06 0.0253615 0.666663 
0.534177 0.999978 1.31533e-06 0.00774162 0.666666 
0.472152 0.999995 3.30879e-07 0.00219907 0.666666 
0.410127 1 3.57163e-08 0.00027644 0.666667 
0.348101 1 0 -1.46595e-12 0.666667 
0.286076 1 0 -2.17054e-12 0.666667 
0.224051 1 0 -3.53865e-12 0.666667 
0.162025 1 0 -6.76651e-12 0.666667 
0.1 1 0 -1.77636e-11 0.666667 
