temp order chi cb u
5 0.742842 0.000269058 0.408603 0.663441 
4.93797 0.746862 0.000268825 0.418171 0.663517 
4.87595 0.750889 0.000267358 0.425956 0.663607 
4.81392 0.754805 0.000269245 0.439249 0.663658 
4.7519 0.758935 0.00027152 0.454001 0.663703 
4.68987 0.762774 0.000269503 0.46154 0.663793 
4.62785 0.767222 0.000269988 0.474679 0.663858 
4.56582 0.771301 0.000269631 0.485872 0.663928 
4.5038 0.775421 0.000269732 0.498775 0.663993 
4.44177 0.779909 0.00026979 0.511773 0.664059 
4.37975 0.784061 0.000267504 0.520546 0.664145 
4.31772 0.788264 0.000265811 0.530724 0.664222 
4.2557 0.792727 0.000267702 0.548804 0.664268 
4.19367 0.79725 0.00026781 0.5641 0.664328 
4.13165 0.801584 0.000268234 0.580307 0.664383 
4.06962 0.806015 0.000266339 0.591863 0.664459 
4.00759 0.810497 0.000265654 0.606701 0.664521 
3.94557 0.815279 0.000265123 0.622975 0.664583 
3.88354 0.819988 0.000263968 0.638044 0.664648 
3.82152 0.824549 0.000262574 0.652725 0.664712 
3.75949 0.829287 0.000260002 0.664916 0.664785 
3.69747 0.833967 0.000261401 0.688082 0.664826 
3.63544 0.838762 0.000259069 0.701603 0.664895 
3.57342 0.843474 0.000257711 0.718858 0.664953 
3.51139 0.848335 0.000254137 0.730407 0.665024 
3.44937 0.853194 0.000252709 0.748651 0.665081 
3.38734 0.858316 0.000250131 0.763732 0.665144 
3.32532 0.863334 0.000247926 0.780389 0.665202 
3.26329 0.868153 0.000245925 0.798617 0.665257 
3.20127 0.873121 0.000243607 0.816293 0.665312 
3.13924 0.878189 0.000240579 0.832635 0.665369 
3.07722 0.883304 0.000237007 0.846752 0.665429 
3.01519 0.888374 0.000231878 0.85571 0.665494 
2.95316 0.893428 0.000229248 0.874139 0.665543 
2.89114 0.898504 0.000223658 0.881592 0.665606 
2.82911 0.903574 0.000218924 0.892725 0.665662 
2.76709 0.908643 0.000214115 0.903296 0.665716 
2.70506 0.913572 0.000210625 0.919701 0.665763 
2.64304 0.918547 0.000203403 0.919284 0.665823 
2.58101 0.92357 0.000198702 0.930067 0.665871 
2.51899 0.92856 0.000191952 0.931408 0.665924 
2.45696 0.933217 0.000184924 0.92993 0.665976 
2.39494 0.938162 0.000176101 0.918944 0.666032 
2.33291 0.94286 0.000169677 0.917771 0.666077 
2.27089 0.947407 0.000160929 0.903758 0.666128 
2.20886 0.951912 0.000152907 0.891473 0.666173 
2.14684 0.956381 0.000143126 0.867279 0.666222 
2.08481 0.960583 0.000135119 0.850686 0.666263 
2.02278 0.964658 0.000125375 0.82104 0.666306 
1.96076 0.968487 0.000116718 0.794917 0.666344 
1.89873 0.972239 0.000107772 0.764117 0.66638 
1.83671 0.97575 9.76404e-05 0.721287 0.666417 
1.77468 0.979039 8.79056e-05 0.676936 0.666451 
1.71266 0.982046 7.83608e-05 0.629083 0.666483 
1.65063 0.984874 6.96781e-05 0.583886 0.66651 
1.58861 0.987351 6.06608e-05 0.530904 0.666536 
1.52658 0.989671 5.12405e-05 0.469213 0.666561 
1.46456 0.991678 4.36977e-05 0.418648 0.666581 
1.40253 0.99342 3.60408e-05 0.361968 0.666599 
1.34051 0.994934 2.92396e-05 0.308205 0.666614 
1.27848 0.996184 2.3216e-05 0.257274 0.666627 
1.21646 0.997262 1.75354e-05 0.20469 0.666638 
1.15443 0.998073 1.29356e-05 0.159345 0.666647 
1.09241 0.998678 9.39909e-06 0.122518 0.666653 
1.03038 0.999145 6.44562e-06 0.0891623 0.666658 
0.968354 0.999486 4.13105e-06 0.0608673 0.666661 
0.906329 0.999713 2.4516e-06 0.0386211 0.666664 
0.844304 0.999849 1.39601e-06 0.0236177 0.666665 
0.782278 0.99993 6.92858e-07 0.0126306 0.666666 
0.720253 0.999969 3.38877e-07 0.00670957 0.666666 
0.658228 0.999989 1.27326e-07 0.00276748 0.666667 
0.596203 0.999998 2.60985e-08 0.000622237 0.666667 
0.534177 1 6.28396e-09 0.000168381 0.666667 
0.472152 1 6.46347e-10 1.97127e-05 0.666667 
0.410127 1 7.44097e-10 2.61261e-05 0.666667 
0.348101 1 0 -2.81462e-12 0.666667 
0.286076 1 0 -4.16743e-12 0.666667 
0.224051 1 0 -6.79421e-12 0.666667 
0.162025 1 0 -1.29917e-11 0.666667 
0.1 1 0 -3.41061e-11 0.666667 
