temp order chi cb u
5 0.398126 0.00153451 0.151793 0.606663 
4.93797 0.400607 0.00153903 0.155708 0.608056 
4.87595 0.402491 0.00153835 0.159195 0.609274 
4.81392 0.404749 0.00155454 0.164993 0.609928 
4.7519 0.406883 0.0015631 0.170236 0.610862 
4.68987 0.408996 0.00157215 0.17501 0.611905 
4.62785 0.411076 0.00158462 0.180445 0.612652 
4.56582 0.413772 0.00159928 0.187623 0.613532 
4.5038 0.41579 0.00161386 0.194199 0.61414 
4.44177 0.41802 0.00161467 0.198634 0.615474 
4.37975 0.420223 0.00163433 0.20628 0.616021 
4.31772 0.422504 0.00165365 0.214462 0.616565 
4.2557 0.4247 0.00166274 0.22125 0.617495 
4.19367 0.427495 0.00167506 0.230256 0.618341 
4.13165 0.429854 0.00168717 0.237732 0.619233 
4.06962 0.432257 0.00169469 0.245255 0.620197 
4.00759 0.434419 0.00172066 0.256028 0.62058 
3.94557 0.437273 0.0017257 0.264121 0.621794 
3.88354 0.439376 0.00174612 0.273837 0.622384 
3.82152 0.441714 0.00175921 0.284381 0.623099 
3.75949 0.444444 0.00177528 0.295334 0.623932 
3.69747 0.446961 0.00180005 0.308621 0.624455 
3.63544 0.449072 0.00181335 0.31999 0.625195 
3.57342 0.451576 0.00182484 0.330664 0.626068 
3.51139 0.454033 0.00185653 0.346004 0.626573 
3.44937 0.456828 0.00186313 0.358777 0.627495 
3.38734 0.459135 0.00188918 0.374852 0.628015 
3.32532 0.462001 0.00191367 0.39143 0.628733 
3.26329 0.46397 0.00192577 0.405582 0.629453 
3.20127 0.466507 0.00194875 0.423032 0.630159 
3.13924 0.469084 0.00197428 0.442895 0.630685 
3.07722 0.471495 0.00198748 0.459756 0.631512 
3.01519 0.474493 0.00202034 0.483662 0.632056 
2.95316 0.477197 0.00205436 0.508188 0.632585 
2.89114 0.479258 0.00207754 0.530827 0.633138 
2.82911 0.481801 0.00211424 0.557623 0.633641 
2.76709 0.484714 0.00214593 0.586957 0.634233 
2.70506 0.487245 0.00217964 0.6154 0.634799 
2.64304 0.48931 0.00221338 0.646147 0.635291 
2.58101 0.492411 0.00224686 0.681227 0.635917 
2.51899 0.494791 0.0022883 0.719294 0.636349 
2.45696 0.497151 0.00233102 0.756812 0.636886 
2.39494 0.499816 0.00237027 0.799299 0.637415 
2.33291 0.502352 0.00241811 0.84624 0.637872 
2.27089 0.504838 0.00245702 0.894165 0.638408 
2.20886 0.506949 0.00251789 0.950763 0.638742 
2.14684 0.50946 0.00258811 1.01317 0.63911 
2.08481 0.511852 0.00262335 1.06977 0.63973 
2.02278 0.514273 0.00270006 1.1466 0.640012 
1.96076 0.516017 0.00276429 1.2187 0.640408 
1.89873 0.518391 0.00284762 1.30924 0.640703 
1.83671 0.521045 0.00295066 1.41709 0.640922 
1.77468 0.523253 0.0030434 1.52544 0.641232 
1.71266 0.524848 0.00313492 1.63907 0.641521 
1.65063 0.526784 0.00323188 1.76462 0.641873 
1.58861 0.528811 0.00335668 1.91788 0.642099 
1.52658 0.530348 0.00348006 2.08278 0.642325 
1.46456 0.532727 0.00361255 2.27652 0.64265 
1.40253 0.534341 0.00373932 2.47545 0.642989 
1.34051 0.535491 0.00392983 2.74078 0.642949 
1.27848 0.53725 0.00411062 3.02097 0.643198 
1.21646 0.538326 0.00433519 3.35831 0.643238 
1.15443 0.540051 0.0045516 3.74108 0.643476 
1.09241 0.541285 0.00481649 4.20036 0.643548 
1.03038 0.542327 0.00510625 4.72897 0.643686 
0.968354 0.543185 0.00543907 5.38556 0.643725 
0.906329 0.543668 0.00577672 6.11312 0.643923 
0.844304 0.544368 0.00622791 7.09629 0.64388 
0.782278 0.544902 0.00669901 8.25139 0.643996 
0.720253 0.54529 0.00730764 9.80697 0.643912 
0.658228 0.545717 0.00798076 11.7163 0.644029 
0.596203 0.545562 0.00885255 14.3428 0.643903 
0.534177 0.546101 0.00986717 17.8481 0.644015 
0.472152 0.546246 0.0111353 22.8422 0.644055 
0.410127 0.545996 0.0128816 30.3442 0.643935 
0.348101 0.545744 0.0149803 41.5972 0.644182 
0.286076 0.545951 0.0184325 62.2224 0.643985 
0.224051 0.54581 0.0235221 101.396 0.643975 
0.162025 0.545997 0.0323252 192.981 0.64411 
0.1 0.54611 0.0526331 509.317 0.644016 
