temp order chi cb u
5 0.494098 0.0014737 0.216414 0.628501 
4.93797 0.496853 0.00147924 0.222313 0.629281 
4.87595 0.499727 0.00148611 0.229472 0.6299 
4.81392 0.502194 0.00149366 0.236016 0.630561 
4.7519 0.505557 0.00150979 0.246014 0.631014 
4.68987 0.508401 0.00152001 0.253795 0.631644 
4.62785 0.511081 0.00153058 0.262532 0.632138 
4.56582 0.513877 0.0015394 0.270093 0.632834 
4.5038 0.51721 0.00155389 0.281166 0.633368 
4.44177 0.520019 0.00156534 0.291032 0.633863 
4.37975 0.523282 0.0015629 0.298551 0.634739 
4.31772 0.526508 0.00158262 0.310348 0.635198 
4.2557 0.529502 0.00158812 0.320463 0.635858 
4.19367 0.532788 0.00161308 0.334424 0.6362 
4.13165 0.535786 0.00161878 0.344752 0.636887 
4.06962 0.538949 0.00164231 0.360528 0.637226 
4.00759 0.542401 0.00165727 0.374802 0.637721 
3.94557 0.545995 0.0016654 0.38753 0.638433 
3.88354 0.548777 0.00166755 0.399315 0.639064 
3.82152 0.552418 0.00169503 0.417631 0.639451 
3.75949 0.556334 0.0017004 0.43397 0.640127 
3.69747 0.560025 0.00171567 0.450721 0.64068 
3.63544 0.562863 0.00173976 0.469942 0.64102 
3.57342 0.566766 0.00175843 0.490902 0.641499 
3.51139 0.570465 0.00177312 0.512556 0.642019 
3.44937 0.574186 0.00178704 0.532747 0.642566 
3.38734 0.577989 0.00180759 0.55614 0.643047 
3.32532 0.581678 0.00182787 0.580794 0.643504 
3.26329 0.586039 0.00185061 0.611359 0.643943 
3.20127 0.589368 0.00186802 0.633703 0.64447 
3.13924 0.593355 0.00189335 0.666625 0.644867 
3.07722 0.597729 0.00190684 0.696465 0.645443 
3.01519 0.601622 0.00193629 0.732508 0.645804 
2.95316 0.605944 0.00195109 0.765129 0.646363 
2.89114 0.610242 0.00196724 0.801296 0.646872 
2.82911 0.614768 0.00202182 0.854305 0.64708 
2.76709 0.619079 0.00202553 0.888166 0.647728 
2.70506 0.623441 0.00206108 0.940078 0.648069 
2.64304 0.628342 0.00209619 0.995487 0.648462 
2.58101 0.633286 0.00211812 1.04792 0.648975 
2.51899 0.637958 0.00214681 1.10645 0.649408 
2.45696 0.642786 0.0021808 1.17228 0.649817 
2.39494 0.647743 0.002218 1.24347 0.650211 
2.33291 0.65304 0.00224417 1.31295 0.650723 
2.27089 0.658315 0.00229031 1.40342 0.651047 
2.20886 0.663998 0.00233104 1.49572 0.651475 
2.14684 0.669414 0.00236329 1.5866 0.651948 
2.08481 0.675301 0.0024272 1.7101 0.652233 
2.02278 0.681123 0.00246241 1.82574 0.652674 
1.96076 0.687266 0.00251524 1.95915 0.653067 
1.89873 0.693785 0.00256623 2.1092 0.653473 
1.83671 0.700726 0.00261321 2.27106 0.65392 
1.77468 0.707471 0.00265478 2.43375 0.6544 
1.71266 0.714671 0.00273341 2.65532 0.654717 
1.65063 0.721963 0.00278687 2.86893 0.655161 
1.58861 0.729873 0.00286649 3.139 0.655532 
1.52658 0.738033 0.00291995 3.41265 0.655993 
1.46456 0.746821 0.00298493 3.7262 0.656449 
1.40253 0.755657 0.00306175 4.0997 0.65685 
1.34051 0.765303 0.00314987 4.53364 0.657261 
1.27848 0.775635 0.00321432 4.99447 0.657752 
1.21646 0.78634 0.00326955 5.49846 0.658272 
1.15443 0.79778 0.00336525 6.14874 0.658703 
1.09241 0.810337 0.00341448 6.81797 0.659253 
1.03038 0.82323 0.00348231 7.61719 0.659765 
0.968354 0.837409 0.0035238 8.50152 0.660327 
0.906329 0.85246 0.00353369 9.46012 0.660923 
0.844304 0.868619 0.00350274 10.4582 0.661566 
0.782278 0.885723 0.00346685 11.64 0.662171 
0.720253 0.903614 0.00327355 12.4495 0.662912 
0.658228 0.921873 0.00304213 13.19 0.663606 
0.596203 0.94015 0.00271138 13.5073 0.664294 
0.534177 0.957651 0.00223296 12.8937 0.664981 
0.472152 0.97285 0.00168728 11.3756 0.665577 
0.410127 0.98527 0.00108236 8.61999 0.666075 
0.348101 0.993695 0.000554835 5.29833 0.666414 
0.286076 0.998123 0.000204316 2.39673 0.666591 
0.224051 0.999736 3.68896e-05 0.555154 0.666656 
0.162025 0.999992 1.50643e-06 0.031469 0.666666 
0.1 1 0 -7.81597e-12 0.666667 
