temp order chi cb u
5 0.585135 0.00137275 0.275997 0.641004 
4.93797 0.588879 0.00137605 0.284603 0.641555 
4.87595 0.591987 0.00139657 0.295938 0.641774 
4.81392 0.595374 0.00139031 0.302793 0.642433 
4.7519 0.598666 0.00140528 0.31353 0.642771 
4.68987 0.602191 0.00141557 0.324451 0.64315 
4.62785 0.605677 0.00142072 0.334216 0.643646 
4.56582 0.609584 0.00143206 0.346602 0.644042 
4.5038 0.612971 0.00143881 0.356846 0.644516 
4.44177 0.617001 0.00145344 0.370877 0.644884 
4.37975 0.620436 0.00144595 0.37926 0.645497 
4.31772 0.624338 0.00145884 0.393336 0.645894 
4.2557 0.628071 0.00148007 0.410726 0.646111 
4.19367 0.632022 0.00148062 0.423143 0.646634 
4.13165 0.635578 0.00149282 0.438149 0.647008 
4.06962 0.640172 0.00149911 0.454792 0.647472 
4.00759 0.643802 0.00151829 0.472788 0.64775 
3.94557 0.64815 0.00152217 0.489851 0.648209 
3.88354 0.652168 0.00152988 0.506919 0.648635 
3.82152 0.656657 0.00153664 0.525637 0.649072 
3.75949 0.660372 0.00154696 0.54399 0.649442 
3.69747 0.665034 0.00156723 0.569181 0.649742 
3.63544 0.669511 0.00158126 0.592822 0.650095 
3.57342 0.674331 0.00159175 0.618374 0.650473 
3.51139 0.67882 0.00159659 0.640742 0.650916 
3.44937 0.68351 0.00160769 0.666384 0.651293 
3.38734 0.688124 0.00162303 0.694749 0.651638 
3.32532 0.693078 0.0016299 0.723207 0.652043 
3.26329 0.697895 0.00164656 0.75617 0.652366 
3.20127 0.70286 0.00165804 0.788121 0.65274 
3.13924 0.707932 0.00166441 0.821292 0.653131 
3.07722 0.713082 0.00168568 0.860375 0.653439 
3.01519 0.718481 0.00169183 0.897243 0.653848 
2.95316 0.724295 0.00171036 0.942891 0.654161 
2.89114 0.729265 0.00172003 0.983505 0.654524 
2.82911 0.734921 0.00174248 1.03601 0.654809 
2.76709 0.740889 0.00175087 1.08264 0.655197 
2.70506 0.747195 0.00175469 1.1306 0.655625 
2.64304 0.75275 0.0017705 1.18702 0.655937 
2.58101 0.758926 0.00177548 1.24125 0.656325 
2.51899 0.765401 0.00178664 1.30501 0.656677 
2.45696 0.771634 0.00180667 1.37746 0.656968 
2.39494 0.778318 0.00182457 1.45286 0.657287 
2.33291 0.785228 0.00182429 1.5231 0.657683 
2.27089 0.792096 0.00184777 1.61392 0.657968 
2.20886 0.799138 0.00183116 1.67674 0.658425 
2.14684 0.806886 0.00185744 1.78672 0.658697 
2.08481 0.813914 0.00185342 1.87045 0.659074 
2.02278 0.821605 0.00185549 1.96953 0.659433 
1.96076 0.829208 0.00186223 2.08097 0.659757 
1.89873 0.837358 0.00185828 2.19142 0.660113 
1.83671 0.845216 0.00184596 2.29641 0.660488 
1.77468 0.853983 0.00184939 2.43352 0.660809 
1.71266 0.862565 0.00182535 2.54363 0.661198 
1.65063 0.871293 0.00181753 2.68304 0.661529 
1.58861 0.880439 0.00177838 2.78916 0.661929 
1.52658 0.889713 0.00174009 2.90521 0.662303 
1.46456 0.89916 0.00170086 3.02626 0.662663 
1.40253 0.908191 0.00164228 3.11604 0.66304 
1.34051 0.917678 0.0015777 3.20284 0.663406 
1.27848 0.926938 0.00150598 3.27243 0.663759 
1.21646 0.936447 0.00140173 3.27025 0.664144 
1.15443 0.945332 0.0012905 3.23597 0.664504 
1.09241 0.954155 0.00116431 3.14598 0.664856 
1.03038 0.962523 0.00103972 3.03344 0.665168 
0.968354 0.970298 0.000888818 2.80655 0.665483 
0.906329 0.977134 0.000742482 2.54068 0.665754 
0.844304 0.983205 0.000595208 2.21418 0.665994 
0.782278 0.988294 0.00045513 1.8473 0.666195 
0.720253 0.992394 0.00032369 1.43794 0.666361 
0.658228 0.995449 0.000213803 1.04561 0.666483 
0.596203 0.997589 0.000126097 0.68414 0.666569 
0.534177 0.998862 6.64616e-05 0.403771 0.666621 
0.472152 0.999589 2.71818e-05 0.186688 0.66665 
0.410127 0.999874 9.59307e-06 0.0759537 0.666662 
0.348101 0.999981 1.71025e-06 0.0158287 0.666666 
0.286076 0.999998 2.04807e-07 0.00235441 0.666667 
0.224051 1 0 -3.6802e-12 0.666667 
0.162025 1 0 -7.03717e-12 0.666667 
0.1 1 0 -1.84741e-11 0.666667 
